name,stock,price,cat,code,colorType,compatible,qtePage,ref,trademark
TONERLASERC7115X/Q2613X,0,45750,Toner compatible,N¡15A/7115X,Noir,HP laser jet 1200/1200N/1200SE/1220/3300 3300MFP/3310/3320/3320N/3330/3380/ HP laser jet 1300/1300N/1300XI,3500,C7115X/Q2613X,HP
Q2612A,0,47740,Toner Cartridge,2612A,Noir,HP LaserJet 1010/1012/1015/1018/1020/1022/3015/ 3020/3030/3050/3052/3055/M1319f/M1005,2000,Q2612A,HP
Q2612X,0,55000,Toner Cartridge,2612X,Noir,HP LaserJet 1010/1012/1015/1018/1020/1022/3015/ 3020/3030/3050/3052/3055/M1319f/M1005,3500,Q2612X,HP
CE278A,0,37660,Toner Cartridge,278A,Noir,HP LaserJet Pro P1560/1566/1600/1606DN  M1536DNF,2100,CE278A,HP
CE285A,0,37660,Toner Cartridge,285A,Noir,HP 1212nf/1214nfh/1217nfw Pro P1100/1102W Pro M1130/1132/1210,1600,CE285A,HP
CB435A,0,37660,Toner Cartridge,435A,Noir,HP LaserJet P1002/1003/1004/1005/1006/1009,1500,CB435A,HP
CB436A,0,37660,Toner Cartridge,436A,Noir,hp laserjet  P1505/M1120/M1522,2000,CB436A,HP
CC388A,0,39357,Toner Cartridge,388A,Noir,HP LaserJet P1007/1008   M1136,1500,CC388A,HP
C4127A,0,48860,Toner Cartridge,4127A,Noir,HP4000T/4000TN/4050/4050N/ 4050DN/4050T/4050TN/4050SE,6000,C4127A,HP
C4127X,0,55000,Toner Cartridge,4127X,Noir,HP4000T/4000TN/4050/4050N/ 4050DN/4050T/4050TN/4050SE,10000,C4127X,HP
C8061X,0,55000,Toner Cartridge,8061X,Noir,HP4000T/4000TN/4050/4050N/4050DN/4050T/4050TN/4050SE,10000,C8061X,HP
CE505A,0,54.880,Toner Cartridge,505A,Noir,HP P2035/P2055,2300,CE505A,HP
CE505X,0,64000,Toner Cartridge,505X,Noir,HP P2055,6500,CE505X,HP
CC364A,0,92000,Toner Cartridge,364A,Noir,HP P4014/P4015/P4515,10000,CC364A,HP
CC364X,0,123000,Toner Cartridge,364X,Noir,HP P4015/P4515,24000,CC364X,HP
CE255A,0,74060,Toner Cartridge,255A,Noir,HP P3010/P3015/P3016,6000,CE255A,HP
